rms,mileage,speed,load
7.19,360430.22,85.28,110
7.63,360444.43,85.28,110
8.44,360458.64,85.28,110
8.26,360472.86,85.28,110
7.96,360487.07,85.28,110
8.12,360501.28,85.28,110
7.89,360515.5,85.28,110
8.34,360529.7,85.28,110
8.21,360543.92,85.28,110
8.92,360558.14,85.28,110
7.41,360572.34,85.28,110
8.23,360586.56,85.28,110
7.74,360600.77,85.28,110
8.18,360614.98,85.28,110
8.45,360629.2,85.28,110
7.27,360643.41,85.28,110
8.1,360657.62,85.28,110
7.96,360671.83,85.28,110
8.77,360686.05,85.28,110
7.79,360700.26,85.28,110
7.92,360714.47,85.28,110
7.9,360728.69,85.28,110
7.44,360742.9,85.28,110
7.7,360757.11,85.28,110
8.5,360771.33,85.28,110
8.34,360785.53,85.28,110
7.76,360799.75,85.28,110
7.79,360813.96,85.28,110
7.56,360828.17,85.28,110
7.78,360842.39,85.28,110
7.82,360856.6,85.28,110
7.47,360870.81,85.28,110
7.82,360885.03,85.28,110
7.7,360899.24,85.28,110
6.79,360913.45,85.28,110
7.73,360927.66,85.28,110
7.5,360941.88,85.28,110
7.95,360956.09,85.28,110
7.74,360970.3,85.28,110
7.77,360984.52,85.28,110
7.64,360998.72,85.28,110
7.44,361012.94,85.28,110
7.94,361027.16,85.28,110
7.97,361041.36,85.28,110
7.41,361055.58,85.28,110
7.42,361069.79,85.28,110
7.48,361084,85.28,110
7.92,361098.22,85.28,110
7.26,361112.43,85.28,110
8.15,361126.64,85.28,110
7.59,361140.85,85.28,110
7.94,361155.07,85.28,110
7.5,361169.28,85.28,110
7.94,361183.49,85.28,110
8.33,361197.71,85.28,110
7.9,361211.92,85.28,110
8.02,361226.13,85.28,110
8.02,361240.35,85.28,110
8.14,361254.55,85.28,110
7.64,361268.77,85.28,110
7.78,361282.98,85.28,110
7.27,361297.19,85.28,110
8.62,361311.41,85.28,110
7.73,361325.62,85.28,110
7.68,361339.83,85.28,110
7.89,361354.05,85.28,110
8.26,361368.26,85.28,110
7.8,361382.47,85.28,110
7.58,361396.68,85.28,110
6.62,361410.9,85.28,110
8.75,361425.11,85.28,110
8.21,361439.32,85.28,110
7.78,361453.54,85.28,110
7.97,361467.74,85.28,110
7.7,361481.96,85.28,110
8.41,361496.18,85.28,110
8.35,361510.38,85.28,110
7.74,361524.6,85.28,110
8.39,361538.81,85.28,110
7.84,361553.02,85.28,110
8.14,361567.24,85.28,110
7.82,361581.45,85.28,110
7.99,361595.66,85.28,110
7.78,361609.87,85.28,110
7.89,361624.09,85.28,110
7.6,361638.3,85.28,110
7.43,361652.51,85.28,110
7.18,361666.73,85.28,110
8.37,361680.93,85.28,110
7.49,361695.15,85.28,110
7.75,361709.37,85.28,110
7.67,361723.57,85.28,110
7.88,361737.79,85.28,110
7.75,361752,85.28,110
8.35,361766.21,85.28,110
8.21,361780.43,85.28,110
7.21,361794.64,85.28,110
7.8,361808.85,85.28,110
7.64,361823.07,85.28,110
7.83,361837.28,85.28,110
7.39,361851.49,85.28,110
8.75,361865.7,85.28,110
6.86,361879.92,85.28,110
8,361894.13,85.28,110
7.01,361908.34,85.28,110
7.86,361922.56,85.28,110
7.68,361936.76,85.28,110
7.72,361950.98,85.28,110
7.83,361965.2,85.28,110
7.8,361979.4,85.28,110
7.68,361993.62,85.28,110
7.15,362007.83,85.28,110
8.56,362022.04,85.28,110
7.44,362036.26,85.28,110
7.91,362050.47,85.28,110
8.02,362064.68,85.28,110
7.37,362078.89,85.28,110
7.67,362093.11,85.28,110
8.13,362107.32,85.28,110
8.19,362121.53,85.28,110
7.9,362135.75,85.28,110
7.56,362149.95,85.28,110
8.09,362164.17,85.28,110
7.27,362178.39,85.28,110
7.92,362192.59,85.28,110
6.71,362206.81,85.28,110
7.7,362221.02,85.28,110
8.07,362235.23,85.28,110
8.55,362249.45,85.28,110
7.4,362263.66,85.28,110
7.7,362277.87,85.28,110
8.17,362292.08,85.28,110
7.83,362306.3,85.28,110
7.5,362320.51,85.28,110
7.96,362334.72,85.28,110
8.12,362348.94,85.28,110
7.5,362363.15,85.28,110
7.81,362377.36,85.28,110
8.81,362391.58,85.28,110
7.71,362405.78,85.28,110
7.39,362420,85.28,110
7.27,362434.21,85.28,110
7.46,362448.42,85.28,110
7.56,362462.64,85.28,110
7.63,362476.85,85.28,110
8.47,362491.06,85.28,110
7.72,362505.28,85.28,110
7.89,362519.49,85.28,110
7.98,362533.7,85.28,110
7.18,362547.91,85.28,110
7.98,362562.13,85.28,110
6.99,362576.34,85.28,110
8.22,362590.55,85.28,110
8.02,362604.77,85.28,110
7.4,362618.97,85.28,110
8.26,362633.19,85.28,110
7.86,362647.41,85.28,110
7.71,362661.61,85.28,110
7.57,362675.83,85.28,110
7.98,362690.04,85.28,110
7.54,362704.25,85.28,110
7.5,362718.47,85.28,110
7.61,362732.68,85.28,110
7.96,362746.89,85.28,110
7.18,362761.1,85.28,110
